lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,wp1,wp2,wprel,y
11.33,5.5,2.06,2090.0,700.0,2.99,5.33,3.0,1.78,6,2,3.0,1.0,1.94,0.52,1.0
15.0,9.83,1.53,2592.0,1725.5,1.5,1.0,4.5,0.22,1,6,0.17,1.0,1.0,1.0,0.0
5.0,10.5,0.48,420.0,1812.0,0.23,1.0,5.0,0.2,1,2,0.5,1.0,1.8900000000000001,0.53,0.0
14.0,14.0,1.0,2400.0,1920.0,1.25,6.0,6.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
15.0,3.75,4.0,1920.0,398.75,4.82,7.0,2.0,3.5,1,4,0.25,1.0,1.0,1.0,1.0
10.0,13.0,0.77,1029.0,2304.0,0.45,4.0,6.0,0.67,1,1,1.0,1.0,1.9,0.53,0.0
10.0,5.29,1.89,1225.0,627.0,1.95,1.0,2.71,0.37,1,7,0.14,1.0,2.15,0.47,0.0
1.0,6.5,0.15,180.0,690.0,0.26,1.0,1.0,1.0,1,2,0.5,1.0,1.0,1.0,0.0
16.0,15.0,1.07,3087.0,2376.0,1.3,7.0,7.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
4.0,9.5,0.42,420.0,2135.88,0.2,2.0,4.62,0.43,1,8,0.12,1.0,1.8900000000000001,0.53,0.0
16.0,11.0,1.45,5040.0,1470.0,3.43,7.0,5.0,1.4,1,1,1.0,1.0,1.0,1.0,1.0
8.0,9.0,0.89,768.0,1176.0,0.65,4.0,4.0,1.0,1,1,1.0,1.8,1.0,1.8,0.0
13.71,13.67,1.0,2406.86,2856.0,0.84,1.0,6.33,0.16,7,3,2.33,1.0,1.0,1.0,1.0
8.0,15.0,0.53,800.0,2382.0,0.34,1.0,1.0,1.0,1,2,0.5,1.0,1.0,1.0,0.0
7.0,12.0,0.58,810.0,2800.0,0.29,4.0,5.0,0.8,1,1,1.0,1.0,1.0,1.0,0.0
15.0,17.0,0.88,1800.0,3360.0,0.54,1.0,8.0,0.12,1,1,1.0,1.0,1.0,1.0,0.0
8.6,15.5,0.55,1464.8,2406.0,0.61,4.0,7.0,0.57,5,2,2.5,1.8199999999999998,1.0,1.82,1.0
15.0,11.0,1.36,4320.0,1520.0,2.84,7.0,1.0,7.0,1,2,0.5,1.0,1.0,1.0,0.0
4.0,8.5,0.47,315.0,1457.0,0.22,1.0,1.0,1.0,1,4,0.25,1.0,1.92,0.52,0.0
16.0,14.0,1.14,3136.0,2352.0,1.33,7.0,6.0,1.17,1,1,1.0,1.0,1.0,1.0,1.0
3.0,8.62,0.35,400.0,1257.0,0.32,2.0,4.12,0.49,1,8,0.12,1.0,1.0,1.0,0.0
5.75,11.5,0.5,795.75,1540.0,0.52,2.75,5.5,0.5,4,2,2.0,1.0,1.0,1.0,1.0
7.2,8.17,0.88,908.0,975.0,0.93,1.0,3.67,0.27,5,6,0.83,1.0,1.0,1.0,0.0
4.0,9.5,0.42,384.0,2330.0,0.16,2.0,4.5,0.44,1,2,0.5,1.0,1.92,0.52,0.0
8.0,12.0,0.67,900.0,1680.0,0.54,1.0,5.0,0.2,1,1,1.0,1.0,1.0,1.0,0.0
14.0,9.0,1.56,1925.0,1350.0,1.43,6.0,4.0,1.5,1,1,1.0,1.8900000000000001,1.0,1.89,1.0
15.0,4.0,3.75,2520.0,360.0,7.0,1.0,2.0,0.5,1,1,1.0,1.0,1.8199999999999998,0.55,1.0
15.0,3.0,5.0,3584.0,300.0,11.95,7.0,2.0,3.5,1,1,1.0,1.0,1.0,1.0,1.0
7.0,15.0,0.47,576.0,3024.0,0.19,4.0,7.0,0.57,1,1,1.0,1.0,1.0,1.0,0.0
16.0,7.75,2.06,3969.0,1147.0,3.46,7.0,3.5,2.0,1,4,0.25,1.0,2.21,0.45,0.0
19.0,3.0,6.33,4224.0,300.0,14.08,1.0,2.0,0.5,1,1,1.0,1.0,1.0,1.0,1.0
15.0,9.0,1.67,2688.0,960.0,2.8,7.0,4.0,1.75,1,1,1.0,1.0,1.0,1.0,1.0
4.0,2.0,2.0,400.0,256.0,1.56,2.0,1.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0
13.25,9.57,1.38,2612.0,2088.86,1.25,1.0,4.71,0.21,4,7,0.57,1.97,1.0,1.97,0.0
6.33,12.67,0.5,813.17,2256.0,0.36,3.17,6.0,0.53,6,3,2.0,2.33,1.0,2.33,0.0
11.0,14.0,0.79,1350.0,2000.0,0.68,1.0,1.0,1.0,1,1,1.0,1.0,1.92,0.52,0.0
12.5,17.0,0.74,1785.0,3150.0,0.57,5.5,8.0,0.69,2,1,2.0,1.0,1.0,1.0,1.0
19.0,10.67,1.78,4000.0,2005.5,1.99,9.0,4.83,1.86,1,6,0.17,1.8199999999999998,1.0,1.82,0.0
11.0,9.0,1.22,1470.0,1260.0,1.17,1.0,4.0,0.25,1,1,1.0,1.0,1.0,1.0,0.0
18.0,5.0,3.6,5040.0,600.0,8.4,8.0,3.0,2.67,1,1,1.0,1.0,1.0,1.0,1.0
12.6,8.29,1.52,2821.2,1683.71,1.68,5.6,1.0,5.6,5,7,0.71,1.0,1.0,1.0,1.0
8.0,11.0,0.73,756.0,1250.0,0.6,4.0,1.0,4.0,1,1,1.0,1.0,1.0,1.0,0.0
15.0,7.0,2.14,2688.0,700.0,3.84,7.0,4.0,1.75,1,1,1.0,1.0,1.0,1.0,1.0
18.0,14.0,1.29,3600.0,2016.0,1.79,8.0,1.0,8.0,1,1,1.0,1.0,1.0,1.0,1.0
1.0,10.67,0.09,192.0,1416.0,0.14,1.0,5.0,0.2,1,3,0.33,1.0,1.0,1.0,0.0
11.6,12.33,0.94,1971.4,1960.0,1.01,1.0,1.0,1.0,5,6,0.83,1.0,1.0,1.0,0.0
11.0,10.0,1.1,1080.0,1418.29,0.76,1.0,4.71,0.21,1,7,0.14,1.0,1.0,1.0,0.0
9.0,10.0,0.9,945.0,1176.0,0.8,4.0,1.0,4.0,1,1,1.0,1.0,1.0,1.0,1.0
9.0,12.33,0.73,1210.0,2956.0,0.41,4.0,5.67,0.71,3,3,1.0,1.0,1.0,1.0,1.0
16.0,2.0,8.0,4032.0,256.0,15.75,7.0,1.0,7.0,1,1,1.0,1.0,1.0,1.0,1.0
4.0,10.25,0.39,375.0,1653.0,0.23,1.0,4.62,0.22,1,8,0.12,1.0,1.0,1.0,0.0
12.0,9.0,1.33,1260.0,1250.0,1.01,5.0,4.0,1.25,1,1,1.0,1.0,1.0,1.0,1.0
10.0,12.57,0.8,1260.0,2068.57,0.61,4.0,1.0,4.0,1,7,0.14,1.92,1.9,1.01,0.0
10.5,10.38,1.01,1996.5,2011.5,0.99,4.88,5.12,0.95,8,8,1.0,1.0,2.1799999999999997,0.46,1.0
10.0,9.4,1.06,1200.0,1166.8,1.03,1.0,1.0,1.0,1,5,0.2,1.0,1.0,1.0,0.0
1.0,8.67,0.12,180.0,1274.5,0.14,1.0,4.0,0.25,1,6,0.17,1.0,1.8199999999999998,0.55,0.0
12.0,16.67,0.72,1536.0,3244.0,0.47,5.0,7.33,0.68,1,3,0.33,1.8199999999999998,1.88,0.97,0.0
1.0,10.5,0.1,180.0,1972.0,0.09,1.0,5.0,0.2,1,4,0.25,1.0,1.0,1.0,0.0
7.0,20.0,0.35,864.0,8748.0,0.1,4.0,9.0,0.44,1,1,1.0,1.0,1.0,1.0,0.0
8.0,11.33,0.71,1188.0,2128.0,0.56,4.0,5.33,0.75,2,3,0.67,1.0,1.97,0.51,0.0
16.0,19.0,0.84,3024.0,5760.0,0.53,1.0,9.0,0.11,1,1,1.0,1.0,1.0,1.0,0.0
11.8,11.71,1.01,2155.2,1836.86,1.17,5.6,5.43,1.03,5,7,0.71,1.0,2.17,0.46,0.0
20.0,10.25,1.95,6174.0,1563.75,3.95,9.0,5.0,1.8,1,4,0.25,1.0,1.0,1.0,0.0
9.14,10.25,0.89,1386.29,1391.5,1.0,1.0,1.0,1.0,7,8,0.88,2.1,1.94,1.08,0.0
1.0,11.5,0.09,192.0,2430.75,0.08,1.0,5.25,0.19,1,4,0.25,1.0,1.8900000000000001,0.53,0.0
10.0,13.0,0.77,1080.0,2264.0,0.48,1.0,5.67,0.18,1,3,0.33,1.0,1.0,1.0,0.0
5.0,14.0,0.36,432.0,2730.0,0.16,3.0,6.0,0.5,1,1,1.0,1.0,1.0,1.0,0.0
14.0,13.0,1.08,2100.0,2016.0,1.04,6.0,1.0,6.0,1,1,1.0,1.0,1.0,1.0,1.0
13.0,13.0,1.0,2688.0,1764.0,1.52,6.0,1.0,6.0,1,1,1.0,1.0,1.0,1.0,1.0
6.0,9.5,0.63,695.0,2026.5,0.34,3.0,4.5,0.67,4,6,0.67,1.0,1.0,1.0,0.0
15.0,8.4,1.79,3360.0,1488.0,2.26,7.0,4.2,1.67,1,5,0.2,1.0,1.0,1.0,0.0
8.4,13.5,0.62,1739.2,2376.0,0.73,4.2,6.0,0.7,5,2,2.5,2.17,1.0,2.17,1.0
8.0,13.0,0.62,840.0,1800.0,0.47,4.0,6.0,0.67,1,1,1.0,1.0,1.0,1.0,0.0
16.0,12.17,1.31,4800.0,2674.0,1.8,7.0,5.83,1.2,1,6,0.17,1.0,1.0,1.0,0.0
10.0,20.0,0.5,1680.0,4356.0,0.39,4.0,9.0,0.44,1,1,1.0,1.0,1.0,1.0,0.0
7.2,3.0,2.4,990.0,382.33,2.59,3.4,1.0,3.4,5,6,0.83,1.0,1.8900000000000001,0.53,1.0
6.0,7.5,0.8,525.0,1204.5,0.44,3.0,1.0,3.0,1,4,0.25,1.0,1.8199999999999998,0.55,0.0
14.0,14.0,1.0,2352.0,2880.0,0.82,6.0,6.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
7.17,20.0,0.36,750.17,4536.0,0.17,1.0,9.0,0.11,6,1,6.0,1.0,1.0,1.0,1.0
6.0,20.0,0.3,560.0,4851.0,0.12,3.0,1.0,3.0,1,1,1.0,1.0,1.0,1.0,0.0
5.0,18.0,0.28,420.0,3300.0,0.13,3.0,1.0,3.0,1,1,1.0,1.0,1.0,1.0,0.0
5.0,6.0,0.83,500.0,540.0,0.93,3.0,1.0,3.0,1,1,1.0,1.92,1.0,1.92,0.0
2.0,5.0,0.4,240.0,500.0,0.48,1.0,3.0,0.33,1,1,1.0,1.87,1.0,1.87,0.0
2.0,15.0,0.13,256.0,3528.0,0.07,1.0,7.0,0.14,1,1,1.0,1.0,1.0,1.0,0.0
8.0,17.0,0.47,735.0,3528.0,0.21,4.0,1.0,4.0,1,1,1.0,1.0,1.0,1.0,0.0
2.0,10.71,0.19,240.0,1792.43,0.13,1.0,5.14,0.19,1,7,0.14,1.0,2.21,0.45,0.0
4.0,14.0,0.29,480.0,1620.0,0.3,2.0,6.0,0.33,1,1,1.0,1.0,1.0,1.0,0.0
13.0,16.5,0.79,2646.0,3087.0,0.86,6.0,1.0,6.0,1,2,0.5,1.0,1.8900000000000001,0.53,0.0
15.0,10.75,1.4,4480.0,1630.0,2.75,7.0,5.0,1.4,1,4,0.25,1.0,1.0,1.0,0.0
18.0,14.0,1.29,3840.0,2240.0,1.71,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
11.0,7.0,1.57,1792.0,630.0,2.84,5.0,4.0,1.25,1,1,1.0,1.0,1.0,1.0,0.0
12.0,10.4,1.15,1715.0,1640.8,1.05,5.0,4.6,1.09,1,5,0.2,1.0,1.8900000000000001,0.53,0.0
5.0,8.0,0.62,600.0,840.0,0.71,3.0,4.0,0.75,1,1,1.0,1.0,1.0,1.0,0.0
4.0,12.0,0.33,400.0,2160.0,0.19,2.0,5.0,0.4,1,1,1.0,1.0,1.0,1.0,0.0
17.0,7.0,2.43,3920.0,949.12,4.13,8.0,3.38,2.37,1,8,0.12,1.0,1.0,1.0,0.0
10.43,11.0,0.95,1918.86,2520.33,0.76,4.859999999999999,5.17,0.94,7,6,1.17,1.8199999999999998,1.0,1.82,1.0
8.0,14.33,0.56,875.0,1920.0,0.46,4.0,1.0,4.0,1,3,0.33,1.0,1.0,1.0,0.0
5.0,5.0,1.0,630.0,576.0,1.09,3.0,3.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
10.25,16.0,0.64,1550.38,3087.0,0.5,4.62,1.0,4.62,8,1,8.0,2.0700000000000003,1.0,2.07,1.0
7.0,11.0,0.64,900.0,1080.0,0.83,4.0,5.0,0.8,1,1,1.0,1.0,1.0,1.0,0.0
9.0,6.71,1.34,960.0,652.57,1.47,4.0,1.0,4.0,1,7,0.14,1.0,1.97,0.51,0.0
5.33,7.14,0.75,1468.0,900.57,1.63,2.67,3.43,0.78,3,7,0.43,1.0,1.8900000000000001,0.53,0.0
15.17,12.12,1.25,3857.83,2583.12,1.49,7.17,5.38,1.33,6,8,0.75,1.0,2.1799999999999997,0.46,1.0
5.0,5.0,1.0,720.0,625.0,1.15,3.0,3.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
20.0,5.4,3.7,8100.0,828.6,9.78,9.0,2.4,3.75,1,5,0.2,1.0,1.0,1.0,0.0
13.33,8.33,1.6,2218.0,1266.67,1.75,1.0,4.33,0.23,6,3,2.0,1.0,2.12,0.47,1.0
6.5,12.0,0.54,840.0,2715.0,0.31,3.0,5.75,0.52,2,4,0.5,1.0,2.12,0.47,0.0
12.67,4.0,3.17,2976.0,550.57,5.41,6.0,2.1399999999999997,2.8,3,7,0.43,1.0,1.77,0.56,1.0
9.0,12.0,0.75,1032.0,2445.38,0.42,1.0,5.5,0.18,3,8,0.38,2.12,1.0,2.12,0.0
6.0,9.38,0.64,720.0,1435.25,0.5,3.0,4.5,0.67,1,8,0.12,1.0,2.33,0.43,0.0
9.0,19.0,0.47,1152.0,4800.0,0.24,4.0,9.0,0.44,1,1,1.0,1.0,1.0,1.0,0.0
2.0,4.0,0.5,240.0,360.0,0.67,1.0,2.0,0.5,1,1,1.0,1.0,1.0,1.0,0.0
7.0,10.38,0.67,891.0,1713.75,0.52,1.0,5.0,0.2,6,8,0.75,1.78,1.8199999999999998,0.98,0.0
9.0,9.25,0.97,980.0,1182.0,0.83,1.0,4.25,0.24,1,4,0.25,1.0,1.0,1.0,0.0
10.0,12.0,0.83,1440.0,1260.0,1.14,4.0,5.0,0.8,1,1,1.0,1.0,1.0,1.0,1.0
